trial,learning_rate,max_depth,min_child_weight,reg_alpha,reg_lambda,MSE_train,MSE_test,MSE_train_uncensored,MSE_test_uncensored,RMSE_train,RMSE_test,RMSE_train_uncensored,RMSE_test_uncensored,R2_train,R2_test,R2_train_uncensored,R2_test_uncensored,MAE_train,MAE_test,MAE_train_uncensored,MAE_test_uncensored,MedianAE_train,MedianAE_test,MedianAE_train_uncensored,MedianAE_test_uncensored,PredIn90_train,PredIn90_test,PredIn90_train_uncensored,PredIn90_test_uncensored,PredIn180_train,PredIn180_test,PredIn180_train_uncensored,PredIn180_test_uncensored,PredIn360_train,PredIn360_test,PredIn360_train_uncensored,PredIn360_test_uncensored,Cindex_train,Cindex_test,Cindex_train_uncensored,Cindex_test_uncensored,test_fold,best_trial,best_value,elapsed_time,dataset,method,n_features,n_patients,processed,n_estimators,alpha,beta,is_best_trial
0,0.0291732882915941,10,2.1951183484005847,2.7289119277850395,4.966574276875349,6836103.7584476415,4299900.406255585,344494.528835691,107077.4132231405,2614.5943774221732,2073.620121009532,586.9365628717392,327.2268528454541,-2.0376348158974786,-5.164584681744741,0.2756627136457954,0.1137759783993949,1981.412512546002,1775.3449508489723,430.0848748639826,257.07933884297523,1692.0,1860.0,369.0,218.0,0.02576112412177986,0.046827524575513854,0.08378672470076169,0.21652892561983472,0.054533288725326194,0.09401251117068811,0.176278563656148,0.43471074380165287,0.1522248243559719,0.16353887399463807,0.48313384113166485,0.7545454545454545,0.27951236634976573,0.28818948572736847,0.8084279233536117,0.7518700682338837,PROACT,1,0.8394848596787995,140.12898993492126,rawfeatures,XGBoostCox,202,8584,2024-11-29 19:40:04,,,,False
1,0.06282891966590957,8,1.5526128915675206,5.934124815342514,7.027607764207218,7548541.220475075,5060644.986058981,327382.4853101197,138270.13305785123,2747.4608678696545,2249.5877369106947,572.173474839685,371.84692153875795,-2.354207664302519,-6.255231892213551,0.31164264985313983,-0.14438992965229702,2067.896955503513,1913.8732797140303,434.2002176278564,294.7793388429752,1707.0,1968.0,389.0,254.0,0.02107728337236534,0.04039320822162645,0.06855277475516866,0.18677685950413223,0.052860488457678156,0.08025022341376228,0.1719260065288357,0.37107438016528926,0.14687186349949816,0.14888293118856122,0.4657236126224157,0.684297520661157,0.2826244783185949,0.27382904818106324,0.806058822971139,0.7676510355511398,PROACT,1,0.8394848596787995,140.12898993492126,rawfeatures,XGBoostCox,202,8584,2024-11-29 19:40:04,,,,True
2,0.11131108453954758,8,6.974561561504676,4.200374768316336,0.5945392435662629,7907023.746403479,5752909.717783735,341076.07399347116,234540.69090909092,2811.9430553273087,2398.522403018937,584.017186385359,484.294012877602,-2.513500009785916,-7.247702451460475,0.2828503874596774,-0.9411712336875855,2113.07393777183,2041.802144772118,454.42437431991294,402.0115702479339,1718.0,2094.0,416.0,367.5,0.018066242890598862,0.01966041108132261,0.058759521218716,0.09090909090909091,0.04750752760120441,0.04325290437890974,0.15342763873775844,0.2,0.132485781197725,0.10580875781948168,0.4200217627856366,0.4834710743801653,0.2786091751413644,0.2755297857706319,0.8064372621408981,0.7774468265633169,PROACT,1,0.8394848596787995,140.12898993492126,rawfeatures,XGBoostCox,202,8584,2024-11-29 19:40:04,,,,False
3,0.5405374418563564,10,5.1974022093772545,9.451488084309052,5.906894900969729,8644703.098360656,6356598.628775693,338747.6071817193,310447.28347107436,2940.1875957769525,2521.2295866849754,582.0202807305939,557.177963913752,-2.841289136699732,-8.113185616564968,0.2877462426637948,-1.56941059529874,2218.197724991636,2151.0984807864165,479.3721436343852,443.301652892562,1743.0,2261.0,465.0,378.5,0.013047842087654735,0.024664879356568366,0.042437431991294884,0.1140495867768595,0.039143526262964204,0.048793565683646116,0.1251360174102285,0.2256198347107438,0.10873201739712278,0.10491510277033066,0.3394994559303591,0.4793388429752066,0.26461060743416864,0.2887971249770972,0.8007310163523684,0.7412052736882152,PROACT,1,0.8394848596787995,140.12898993492126,rawfeatures,XGBoostCox,202,8584,2024-11-29 19:40:04,,,,False
4,0.9043678961350047,4,1.4788358377825097,8.093173758224285,4.037000686156782,6660472.158246906,5269573.083646113,562529.5190424374,357814.81983471074,2580.7890572937004,2295.555070924266,750.0196791034468,598.1762447930465,-1.9595926031995994,-6.5547632367298,-0.18277961247876973,-1.9614470416967822,1904.8568082970894,1915.737801608579,612.1436343852013,515.4595041322314,1294.0,1696.0,543.0,471.0,0.008029441284710606,0.011081322609472744,0.026115342763873776,0.0512396694214876,0.023084643693542992,0.023949955317247543,0.07290533188248095,0.11074380165289256,0.08364001338240214,0.07542448614834674,0.25244831338411317,0.3239669421487603,0.277127153059325,0.2952517291802098,0.7313983505272049,0.701395332287792,PROACT,1,0.8394848596787995,140.12898993492126,rawfeatures,XGBoostCox,202,8584,2024-11-29 19:40:04,,,,False
0,0.4228517846555483,10,0.10113231069171438,0.16193110912440742,0.03863879405158731,705.3641967773438,1637732.25,366.7989196777344,963995.1875,26.558692932128906,1279.7391357421875,19.151994705200195,981.8325805664062,0.997768223285675,0.1265849471092224,0.9982675909996033,-0.6399450302124023,15.892522811889648,766.1771850585938,11.822978973388672,541.0745849609375,8.6751708984375,362.3521728515625,6.82293701171875,271.1075439453125,0.984030315333604,0.13723849372384936,0.9943084803642572,0.16129032258064516,0.999187982135607,0.28619246861924685,1.0,0.3629032258064516,1.0,0.497907949790795,1.0,0.6155913978494624,0.9830765018892504,0.7997625712426514,0.9865443210780115,0.8105908972239144,ArQ,3,287.9240444734412,6902.222110033035,rawfeatures,XGBoostMAEPOReg,202,8584,2024-11-29 21:32:46,10.0,36.206007257447396,108.81335003635891,False
1,0.40279979948836325,8,4.250025692592619,5.5065298979459945,0.06573686655138336,22822.431640625,1207196.875,12400.310546875,656064.5,151.07095336914062,1098.72509765625,111.35668182373047,809.9780883789062,0.9277891516685486,0.3561927080154419,0.9414328932762146,-0.11609458923339844,84.16584014892578,692.2198486328125,68.33082580566406,529.0209350585938,45.201934814453125,408.1982421875,41.317138671875,322.266357421875,0.7190418189200163,0.09790794979079498,0.7564029595902105,0.09946236559139784,0.8852348084991203,0.23765690376569037,0.9231644849174729,0.260752688172043,0.9684666395994045,0.45439330543933054,0.9857712009106432,0.5456989247311828,0.9221695135567554,0.7950392395548176,0.9250918759829951,0.8065442520233226,ArQ,3,287.9240444734412,6902.222110033035,rawfeatures,XGBoostMAEPOReg,202,8584,2024-11-29 21:32:46,90.0,12.082666253305458,1026.6030035164245,False
2,0.4231317543434557,8,1.4898306920928144,0.0620020367716472,15.957993164212978,26223.89453125,930914.25,14235.947265625,382078.9375,161.93792724609375,964.8389892578125,119.31449127197266,618.1253662109375,0.9170268177986145,0.5035363435745239,0.9327630996704102,0.3500087261199951,82.19305419921875,600.1773681640625,65.14334106445312,414.345947265625,37.59423828125,373.84405517578125,35.0311279296875,295.8119812011719,0.7471917715523075,0.13807531380753138,0.7939669891861126,0.18548387096774194,0.8855054811205847,0.2669456066945607,0.9208878770631759,0.3333333333333333,0.9615644877520638,0.4895397489539749,0.9817871371656233,0.5913978494623656,0.9239865256952391,0.807049516447516,0.929581860462702,0.8195979462187799,ArQ,3,287.9240444734412,6902.222110033035,rawfeatures,XGBoostMAEPOReg,202,8584,2024-11-29 21:32:46,100.0,87.15103205978144,1193.8997108268645,False
3,0.8776252607730779,12,0.9419376925608013,0.01432910723846785,0.04778831065857701,0.09271735697984695,1508552.0,0.023454781621694565,884007.75,0.304495245218277,1228.231201171875,0.1531495451927185,940.2168579101562,0.9999997019767761,0.19547778367996216,0.9999998807907104,-0.5038707256317139,0.15584704279899597,725.3329467773438,0.09311161190271378,513.0184936523438,0.075927734375,348.30291748046875,0.0523681640625,251.53253173828125,1.0,0.1506276150627615,1.0,0.20161290322580644,1.0,0.30209205020920504,1.0,0.3870967741935484,1.0,0.5112970711297071,1.0,0.6209677419354839,0.9999691612320825,0.7798013059282861,0.9999980534749365,0.7755924926754272,ArQ,3,287.9240444734412,6902.222110033035,rawfeatures,XGBoostMAEPOReg,202,8584,2024-11-29 21:32:46,90.0,19.726066891840954,183.36771578903645,True
4,0.9583106348489969,8,6.949583428109686,0.1828363420984453,5.571905096939268,8814.4921875,1153133.875,4562.36376953125,579845.75,93.88552856445312,1073.8406982421875,67.54527282714844,761.4760131835938,0.9721106886863708,0.3850249648094177,0.9784517884254456,0.013568520545959473,52.833248138427734,690.13037109375,42.43212127685547,502.53814697265625,30.103759765625,412.24810791015625,25.77630615234375,329.149169921875,0.8396264717823793,0.1297071129707113,0.8850313033579966,0.1586021505376344,0.9535796454188659,0.23347280334728032,0.9766647694934547,0.28763440860215056,0.9909324671809446,0.4410041841004184,0.9971542401821286,0.5349462365591398,0.9487034131548944,0.774877428981735,0.9498847657162434,0.7642357787253793,ArQ,3,287.9240444734412,6902.222110033035,rawfeatures,XGBoostMAEPOReg,202,8584,2024-11-29 21:32:46,90.0,11.34657614700661,1780.053047046497,False
