trial,learning_rate,max_depth,min_child_weight,reg_alpha,reg_lambda,MSE_train,MSE_test,MSE_train_uncensored,MSE_test_uncensored,RMSE_train,RMSE_test,RMSE_train_uncensored,RMSE_test_uncensored,R2_train,R2_test,R2_train_uncensored,R2_test_uncensored,MAE_train,MAE_test,MAE_train_uncensored,MAE_test_uncensored,MedianAE_train,MedianAE_test,MedianAE_train_uncensored,MedianAE_test_uncensored,PredIn90_train,PredIn90_test,PredIn90_train_uncensored,PredIn90_test_uncensored,PredIn180_train,PredIn180_test,PredIn180_train_uncensored,PredIn180_test_uncensored,PredIn360_train,PredIn360_test,PredIn360_train_uncensored,PredIn360_test_uncensored,Cindex_train,Cindex_test,Cindex_train_uncensored,Cindex_test_uncensored,test_fold,best_trial,best_value,elapsed_time,dataset,method,n_features,n_patients,processed,alpha,is_best_trial
4,0.4534145909141461,12.0,3.006780068899427,2.948975852004853,1.3872828639709491,1663373.9895434463,2099795.836677815,738959.2547408344,1069478.8500914078,1289.718569899436,1449.0672298681711,859.6273929679268,1034.1561052816967,-0.4758743963697103,-0.2651548688131127,-2.165045142964874,-1.6791287552603062,1062.3259204712813,1163.0797101449275,710.9740834386852,819.6617915904936,978.0,890.5,612.0,662.0,0.0017673048600883653,0.0011148272017837235,0.007585335018963337,0.003656307129798903,0.0075110456553755525,0.010033444816053512,0.0316055625790139,0.029250457038391225,0.051399116347569954,0.055741360089186176,0.17825537294563842,0.1316270566727605,0.5000089869493866,0.5003312026481285,0.5,0.501615346461654,IDPP,1,0.9311547012024594,197.19099593162537,decayfeatures,XGBoostCox,10,8584,2024-11-28 21:42:47,,False
0,0.0291732882915941,10.0,2.1951183484005847,2.7289119277850395,4.966574276875349,6985221.278353965,4775179.108847185,354483.80739934713,98583.57190082644,2642.9569195039794,2185.2183206369073,595.3854276007661,313.9802094094888,-2.1038954500442304,-5.845971582076948,0.25465916693668067,0.1840750824673273,2017.4034794245567,1876.3924932975872,440.6561479869423,246.49421487603306,1752.0,1998.0,385.0,208.5,0.02107728337236534,0.043789097408400354,0.06855277475516866,0.2024793388429752,0.046503847440615594,0.09258266309204646,0.1512513601741023,0.428099173553719,0.1405152224824356,0.17354781054512958,0.4504896626768226,0.7983471074380165,0.2765068811208173,0.2858888790473976,0.8240934068541383,0.7915677918551789,PROACT,1,0.8418151497385171,197.19099593162537,decayfeatures,XGBoostCox,10,8584,2024-11-28 21:42:47,,False
1,0.06282891966590957,8.0,1.5526128915675206,5.934124815342514,7.027607764207218,7882665.639678822,5662725.736550491,315346.2274211099,135674.80909090908,2807.6085267855315,2379.6482379861295,561.5569672091247,368.34061558686284,-2.502676441910029,-7.118409505874942,0.33695019365260326,-0.1229097838950699,2127.561391769823,2032.329579982127,433.62676822633296,293.38760330578515,1743.0,2148.0,394.0,261.5,0.019404483104717297,0.036997319034852545,0.06311207834602829,0.17107438016528925,0.05152224824355972,0.0741733690795353,0.16757344940152338,0.34297520661157027,0.13415858146537304,0.1481680071492404,0.42872687704026113,0.6826446280991736,0.282184867022343,0.27881160689133194,0.8194702800687123,0.7852350141367032,PROACT,1,0.8418151497385171,197.19099593162537,decayfeatures,XGBoostCox,10,8584,2024-11-28 21:42:47,,True
2,0.11131108453954758,8.0,6.974561561504676,4.200374768316336,0.5945392435662629,8656297.425894948,6641182.0634495085,325443.20783460286,226993.31074380165,2942.1586337067124,2577.0490999299,570.4762990997986,476.4381499668154,-2.8464410966800884,-8.52118080629454,0.31572019206796476,-0.8787054960376421,2232.749414519906,2198.78945487042,468.0261153427639,394.4892561983471,1838.0,2331.0,449.0,359.0,0.011375041820006692,0.017873100983020553,0.036996735582154515,0.08264462809917356,0.0351288056206089,0.0418230563002681,0.11316648531011969,0.1933884297520661,0.10739377718300434,0.109562109025916,0.3373231773667029,0.503305785123967,0.2703713634625555,0.28083597321565323,0.8201595376161417,0.7860834900276713,PROACT,1,0.8418151497385171,197.19099593162537,decayfeatures,XGBoostCox,10,8584,2024-11-28 21:42:47,,False
3,0.5405374418563564,10.0,5.1974022093772545,9.451488084309052,5.906894900969729,8843087.43693543,6672201.510277033,365038.1871599565,263029.1652892562,2973.7329128446336,2583.0604929573433,604.1839017716018,512.863690749556,-2.9294415690028326,-8.565652070436137,0.23246743338204467,-1.17695550951654,2250.819337571094,2206.8582663092047,512.9923830250272,429.07107438016527,1747.0,2380.0,503.0,397.0,0.009033121445299431,0.017336907953529938,0.029379760609358,0.08016528925619834,0.02843760455001673,0.03753351206434316,0.09140369967355821,0.17355371900826447,0.0896620943459351,0.09597855227882038,0.279651795429815,0.4388429752066116,0.26800519066137923,0.2857937185776196,0.800283770060835,0.7526966479728269,PROACT,1,0.8418151497385171,197.19099593162537,decayfeatures,XGBoostCox,10,8584,2024-11-28 21:42:47,,False
4,0.9043678961350047,4.0,1.4788358377825097,8.093173758224285,4.037000686156782,5430135.884911342,3856001.185344057,831719.0250272035,399257.78925619833,2330.2651962622926,1963.6703351998922,911.9863074779157,631.8684904758254,-1.4128905004810264,-4.528185212238755,-0.7487798823205973,-2.3044489309116813,1711.9116761458681,1645.3036639857016,736.9445048966268,568.2206611570248,1149.0,1359.0,622.0,539.5,0.0036801605888256944,0.005898123324396783,0.011969532100108813,0.02727272727272727,0.01672800267648043,0.012511170688114389,0.051142546245919476,0.05785123966942149,0.06691201070592172,0.05522788203753351,0.1882480957562568,0.228099173553719,0.2854180541023182,0.31922401369338693,0.6399299590953524,0.6379108607651063,PROACT,1,0.8418151497385171,197.19099593162537,decayfeatures,XGBoostCox,10,8584,2024-11-28 21:42:47,,False
0,,,,,,1243375.6259795772,1993760.733512786,547502.2897637795,960971.5968379447,1115.067543236542,1412.0059254524344,739.9339766247929,980.2915876605005,-4.5855083043981715,-2.0087063166797905,-2.20162811554317,-4.016128503727765,746.4789836143434,932.9973082099597,435.4803149606299,613.5810276679842,463.0,500.0,241.5,308.0,0.10425077178817382,0.09959623149394348,0.20393700787401575,0.11857707509881422,0.20470197102825932,0.2018842530282638,0.384251968503937,0.26877470355731226,0.40536689622417477,0.39703903095558546,0.6551181102362205,0.5652173913043478,0.6399983603952802,0.5982542500245037,0.7288880110213781,0.6848153730218538,ArQ,1,0.8328345927885374,97.52222490310669,decayfeatures,SkSurvCoxLinear,10,4954,2024-11-28 21:42:54,0.12164941464151847,False
1,,,,,,1250087.2260745666,1987353.5598923285,550099.8354330709,970174.7826086957,1118.072996755832,1409.735280076486,741.6871546906222,984.9745086085709,-4.615658242424203,-1.999037501651033,-2.216817778493801,-4.064167761726305,747.3718831631442,931.3903095558546,435.46535433070864,614.6403162055336,463.0,504.0,241.5,304.0,0.10330087865115174,0.09421265141318977,0.2031496062992126,0.11067193675889328,0.20375207789123723,0.19919246298788695,0.38346456692913383,0.2608695652173913,0.40441700308715267,0.3916554508748318,0.6551181102362205,0.5612648221343873,0.6422197311974207,0.603770297202226,0.7299762354639426,0.6960876664154735,ArQ,1,0.8328345927885374,97.52222490310669,decayfeatures,SkSurvCoxLinear,10,4954,2024-11-28 21:42:54,3.9959722831350617,True
2,,,,,,1251580.9394443126,1950412.7012113056,555311.979527559,909355.0355731226,1118.7407829539034,1396.571767297086,745.1925788194344,953.6010882822662,-4.622368321226443,-1.9432914971335578,-2.247296823763868,-3.746697747317441,748.1306103063405,922.2759084791386,436.7905511811024,598.7272727272727,462.0,502.0,240.5,302.0,0.10377582521966279,0.09959623149394348,0.20393700787401575,0.1225296442687747,0.2054143908810259,0.19919246298788695,0.38818897637795274,0.26877470355731226,0.40536689622417477,0.39569313593539707,0.6559055118110236,0.5652173913043478,0.6403122227450438,0.6006193074356824,0.7303079203111627,0.6907969103240392,ArQ,1,0.8328345927885374,97.52222490310669,decayfeatures,SkSurvCoxLinear,10,4954,2024-11-28 21:42:54,0.0010013176560941261,False
3,,,,,,1244547.921633816,1960921.5962314939,547498.0236220473,925575.0909090909,1115.5930806677748,1400.3291028295791,739.9310938337753,962.0681321554575,-4.590774506320702,-1.959150059446026,-2.2016031684341435,-3.8313640185896745,746.6183804322014,923.5262449528936,435.4803149606299,602.1660079051384,463.0,499.0,241.5,304.0,0.10425077178817382,0.09959623149394348,0.20393700787401575,0.11857707509881422,0.20470197102825932,0.2018842530282638,0.384251968503937,0.26877470355731226,0.40512942293991927,0.3983849259757739,0.6551181102362205,0.5691699604743083,0.6399833984376103,0.6000729664680963,0.7289041604708683,0.6882378799296659,ArQ,1,0.8328345927885374,97.52222490310669,decayfeatures,SkSurvCoxLinear,10,4954,2024-11-28 21:42:54,0.0324835034508668,False
