trial,learning_rate,max_depth,min_child_weight,reg_alpha,reg_lambda,n_estimators,alpha,beta,MSE_train,MSE_test,MSE_train_uncensored,MSE_test_uncensored,RMSE_train,RMSE_test,RMSE_train_uncensored,RMSE_test_uncensored,R2_train,R2_test,R2_train_uncensored,R2_test_uncensored,MAE_train,MAE_test,MAE_train_uncensored,MAE_test_uncensored,MedianAE_train,MedianAE_test,MedianAE_train_uncensored,MedianAE_test_uncensored,PredIn90_train,PredIn90_test,PredIn90_train_uncensored,PredIn90_test_uncensored,PredIn180_train,PredIn180_test,PredIn180_train_uncensored,PredIn180_test_uncensored,PredIn360_train,PredIn360_test,PredIn360_train_uncensored,PredIn360_test_uncensored,Cindex_train,Cindex_test,Cindex_train_uncensored,Cindex_test_uncensored,test_fold,best_trial,best_value,elapsed_time,dataset,method,n_features,n_patients,processed,is_best_trial
4,0.9583106348489969,8,6.949583428109686,0.1828363420984453,5.571905096939268,90,11.34657614700661,1780.053047046497,7304.228,1303021.1,2444.3962,509168.22,85.464775,1141.4995,49.440834,713.56024,0.9768891930580139,0.30508893728256226,0.988455057144165,0.13380491733551025,46.314175,680.1029,34.756714,453.88458,30.149902,408.55518,25.562683,298.39062,0.881039382866423,0.15397489539748954,0.9328400682982356,0.21774193548387097,0.9756394640682094,0.2669456066945607,0.993739328400683,0.3521505376344086,0.9948572201921776,0.4610878661087866,0.9988616960728515,0.5698924731182796,0.9524645144237978,0.704242023066912,0.9578557858510987,0.6962985524903548,ArQ,1,320.5422466078853,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
0,0.9889724780174297,10,2.8763955214376113,14.358772473434621,0.0258764101542105,50,5318.467494773384,76.0050493128347,2204.1052,975595.2,3.2721338,607701.7,46.9479,987.7222,1.808904,779.55225,0.9956459999084473,-0.37371134757995605,0.9999859929084778,-0.5223405361175537,3.4334319,657.02466,1.2267816,515.2389,1.0877075,424.76093,0.88442993,343.07184,0.9979381443298969,0.11761426978818283,1.0,0.12979890310786105,0.9979381443298969,0.23690078037904125,1.0,0.28884826325411334,0.9979381443298969,0.4414715719063545,1.0,0.5301645338208409,0.9972944399715472,0.6328215940855917,0.9988202677047884,0.655552502111345,IDPP,2,331.2641525619072,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
1,0.29489758520048526,4,0.291732882915941,5.192089041374387,0.07022834985764341,30,298.34549048893894,14.457314723643993,66692.52,641351.56,46146.742,276319.12,258.24896,800.8443,214.81793,525.66064,0.8682558536529541,0.09692883491516113,0.8023483157157898,0.3077988624572754,171.06079,509.24786,145.0591,318.943,122.64456,313.75183,101.08035,201.9226,0.39322533136966126,0.1778149386845039,0.45448798988621997,0.26508226691042047,0.6652430044182621,0.3255295429208473,0.7420986093552465,0.4643510054844607,0.9022091310751105,0.5546265328874025,0.9266750948166877,0.7148080438756855,0.8301568163046226,0.6864263632398843,0.840059034636428,0.728052066436988,IDPP,2,331.2641525619072,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
2,0.578376429437093,4,5.934124815342514,6.295546558422284,0.025664790016446153,50,1211.1570825917515,174.79854309911977,58991.15,722696.44,40210.19,307102.78,242.88094,850.11554,200.5248,554.1686,0.8834691047668457,-0.017610907554626465,0.827775239944458,0.23068338632583618,162.2435,548.26715,138.34729,353.83716,115.5726,355.50473,99.87958,235.32458,0.4008836524300442,0.1488294314381271,0.45195954487989887,0.20840950639853748,0.6877761413843888,0.2959866220735786,0.7458912768647282,0.40036563071297987,0.9142857142857143,0.5061315496098104,0.93173198482933,0.6544789762340036,0.8379437396374261,0.6738132019020375,0.8448772085965187,0.7053768918321112,IDPP,2,331.2641525619072,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,True
3,0.05945392435662629,8,6.671566987675909,1.1469815928006895,60.031476336384145,60,5131.044082788639,25.847831413807317,154450.52,576509.3,64340.6,245104.56,393.00192,759.2821,253.6545,495.08035,0.6948990225791931,0.18823158740997314,0.7244219779968262,0.3859937787055969,201.35797,485.90887,157.77675,303.29495,122.10005,303.62482,103.365906,206.9596,0.3891016200294551,0.19007803790412486,0.4393173198482933,0.24680073126142596,0.6519882179675994,0.33444816053511706,0.7307206068268015,0.44972577696526506,0.8815905743740795,0.5652173913043478,0.9152970922882427,0.7184643510054844,0.8251734876178912,0.695975435022948,0.8341827832718123,0.7406363526683378,IDPP,2,331.2641525619072,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
4,0.14788358377825098,12,4.037000686156782,0.04585817723633227,51.29019161911274,40,1788.2832527607136,1506.5860993249594,75312.71,602735.4,32569.826,267159.62,274.4316,776.36035,180.47113,516.8749,0.8512275218963623,0.15130329132080078,0.8604997396469116,0.33074408769607544,147.95192,502.0253,115.214424,317.43326,91.1767,304.49,78.270966,211.64679,0.4952871870397644,0.1750278706800446,0.56826801517067,0.2449725776965265,0.7587628865979381,0.32608695652173914,0.8249051833122629,0.45521023765996343,0.931958762886598,0.5551839464882943,0.9532237673830595,0.7074954296160878,0.8686652266542989,0.685799546950251,0.877551151079367,0.7318927034599246,IDPP,2,331.2641525619072,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
0,0.8844730302937517,10,7.534330096870638,0.2486528079375972,0.12014662261383692,90,192.43034993057083,7843.684950031122,159.25597,631607.75,115.58262,363825.34,12.619666,794.73755,10.750936,603.1794,0.9998661875724792,-2.4971864223480225,0.9997569918632507,-2.011193037033081,8.593967,566.09143,7.4138517,459.23285,6.009033,416.92383,5.4711304,361.6053,0.9989963198394112,0.11492403932082217,0.998911860718172,0.14297520661157026,1.0,0.22734584450402145,1.0,0.2652892561983471,1.0,0.4421805183199285,1.0,0.4975206611570248,0.9937073894062681,0.5863987461130278,0.9925142596828229,0.5936525792298576,PROACT,3,578.0725052847938,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
1,0.6668070828402636,10,1.2359851322384146,62.799622746789765,0.6304469295312833,60,167.65264451568498,51.41394643250001,36.07455,491533.53,21.984356,244978.48,6.0062094,701.09454,4.688748,494.953,0.9999696612358093,-1.7216012477874756,0.9999537467956543,-1.027559518814087,4.1283226,467.39883,3.3503308,340.27054,2.803833,302.28314,2.5566406,235.46422,1.0,0.17372654155495978,1.0,0.2140495867768595,1.0,0.3297587131367292,1.0,0.4049586776859504,1.0,0.5613941018766756,1.0,0.6578512396694215,0.997135169967368,0.6422723784403035,0.9965311719988231,0.671845790875326,PROACT,3,578.0725052847938,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
2,0.9043457253566313,8,0.12841623760847382,2.941573161810305,0.202572089167864,60,4548.061177879579,117.98024128079854,0.57662183,764942.56,0.4096898,457964.38,0.7593562,874.6099,0.64007014,676.73065,0.9999995231628418,-3.2354555130004883,0.9999991655349731,-2.790332794189453,0.53126293,597.46136,0.4485932,480.0125,0.36853027,412.50916,0.32543945,346.16208,1.0,0.12475424486148347,1.0,0.14710743801652892,1.0,0.2484361036639857,1.0,0.29256198347107437,1.0,0.4478999106344951,1.0,0.5107438016528926,0.999805964116357,0.6158850737516415,0.9997983239534199,0.5960461023480886,PROACT,3,578.0725052847938,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,False
3,0.9094497994106012,10,0.2566303041809072,52.20942797771148,5.802132870760368,100,32.886793022793,25.787381713852785,25.72136,461589.12,14.220665,224635.72,5.071623,679.4035,3.7710297,473.95752,0.9999783635139465,-1.555800199508667,0.9999700784683228,-0.859192967414856,3.268352,484.96005,2.5531864,339.50223,2.0370483,360.40027,1.6934204,240.74924,1.0,0.14745308310991956,1.0,0.21570247933884298,1.0,0.27810545129579983,1.0,0.3950413223140496,1.0,0.4999106344950849,1.0,0.6528925619834711,0.9978418549292732,0.6505828915075218,0.9976178499909839,0.6675014574626191,PROACT,3,578.0725052847938,6433.153089761734,classes,XGBoostMAEPOReg,16,8584,2024-11-29 17:15:34,True
