days_from_onset,cl2,count,mean,std,min,25%,50%,75%,max,lowCI,highCI
330,1,290.0,-0.034255623374983245,0.06670259063980502,-0.5,-0.05732325984042226,-0.01404750746158214,0.0021496924128502227,0.1521912350597609,-0.041932768918853565,-0.026578477831112925
360,0,235.0,0.1292038797196357,1.017344361264222,-0.05,-0.0031953081551140136,0.007238883143743566,0.02803143044228825,9.325301204819278,-0.0008700084961581755,0.25927776793542956
360,1,338.0,-0.04012170030032026,0.08545558465131099,-0.9140435835351091,-0.06214179104477612,-0.01969342283393503,0.0,0.07238095238095232,-0.04923211552020626,-0.03101128508043426
390,0,298.0,0.06857547220896827,0.7302217650971201,-0.05,-0.006657667566576675,0.0,0.02359888837424738,9.192771084337348,-0.014333725530735753,0.1514846699486723
390,1,371.0,-0.03866555374120286,0.060325448032992925,-0.3862781954887219,-0.06282894736842105,-0.024643320363164613,0.0,0.07123287671232881,-0.04480415851260619,-0.03252694896979953
420,0,263.0,0.0799299354654565,0.7670348295710346,-0.04884318766066834,-0.007266271564525271,0.006675567423230974,0.03095169683619058,9.289156626506024,-0.01277295636075658,0.17263282729166957
420,1,389.0,-0.03565821523679005,0.05472440036781757,-0.3139534883720931,-0.05861244019138746,-0.021216407355021217,0.0,0.06885245901639349,-0.041096504227307006,-0.0302199262462731
450,0,344.0,0.04210840841498849,0.497391673003173,-0.05,-0.004797633648365987,0.0054182879377432675,0.028647416413373882,9.192771084337348,-0.010454012583876869,0.09467082941385385
450,1,430.0,-0.035271442688385835,0.052248336144361855,-0.2785977859778598,-0.061443102352193274,-0.023551306378630805,0.0,0.09999999999999991,-0.040209934163275056,-0.030332951213496613
480,0,322.0,0.038139608457951835,0.4288578511275134,-0.04795321637426894,-0.0059210299541553844,0.007178784193275717,0.03269900830876442,7.6818181818181825,-0.008703046340196655,0.08498226325610032
480,1,469.0,-0.04090856160700628,0.059222702106048325,-0.3428927680798005,-0.0682870370370371,-0.025454545454545386,0.0,0.08710801393728224,-0.04626847618985523,-0.03554864702415733
510,0,341.0,0.013625636835985683,0.03433764387828497,-0.04933333333333337,-0.007614213197969471,0.006666666666666643,0.03050847457627122,0.19180327868852465,0.009981041005170211,0.017270232666801156
510,1,497.0,-0.04453352118071028,0.06926498981473155,-0.8994082840236686,-0.07296137339055805,-0.03035714285714291,0.0,0.1388059701492537,-0.05062316163488815,-0.03844388072653241
